"
Years";"
Total";19 и <;20-24;25-29;30-34;35-39;40-44;45-49;"50 и >";"не указан 
not stated"
1960;2782353;113593;971569;746235;614947;252106;65272;11084;1689;5858
1965;1990520;123428;476557;727220;367012;228991;58900;5329;690;2393
1970;1903713;175562;766340;346221;410082;148572;51678;4168;219;871
1975;2106147;219434;948753;548263;187232;165682;32925;3151;166;541
1980;2202779;247354;1000458;607055;259914;57259;28517;1638;63;521
1985;2375147;215894;947090;723131;359795;115170;11739;1598;60;670
1990;1988858;275547;727635;537277;309577;116722;20386;479;45;1190
1995;1363806;238019;561796;309371;171115;68219;13073;572;6;1635
2000;1266800;162997;505997;343148;167240;69327;15251;719;17;2104
2001;1311604;165600;510846;363803;181209;71576;15674;723;33;2140
2002;1396967;169919;535066;393863;202149;76774;16457;739;31;1969
2003;1477301;170308;546779;415211;217696;79474;17093;774;23;2169
2004;1502477;171940;557843;434067;232411;85038;18073;837;25;2243
2005;1457376;162053;529001;426627;234060;84994;17558;979;35;2069
2006;1479637;160424;531018;434309;244383;89420;17253;929;44;1857
2007;1610122;151837;549262;487804;287605;110780;20099;1049;47;1639
2008;1713947;145459;561633;530160;322789;128645;22707;1224;66;1264
2009;1761687;131442;552829;563014;346388;140558;25025;1334;87;1010
2010;1788948;113849;526894;590205;370891;155228;28128;1476;92;2185
2011;1796629;103884;510184;603791;379884;165364;30221;1481;138;1682
2012;1902084;98924;502826;658266;419089;185816;33914;1568;109;1572
2013;1895822;91832;458930;667897;439075;197952;36965;1600;139;1432
2014;1942683;88370;426191;689937;477955;215434;41498;1901;167;1230
2015;1940579;79603;390760;695743;504738;222817;43498;2086;179;1155
2016;1888729;70652;347203;666445;522258;232158;46623;2265;212;913
2017;1690307;61076;301383;565484;487498;224873;46625;2299;248;821
2018;1604344;54447;277345;504937;483062;232317;48551;2615;262;808
2019;1481074;50646;256769;437792;451084;231890;49116;2644;315;818
2020;1436514;50143;246752;406096;439673;238545;51395;2940;363;607
